Best Epoch for Validation Accuracy = 9

Epoch	Validation Accuracy
1	0.0298
2	0.1136
3	0.0915
4	0.1025
5	0.0546
6	0.0720
7	0.0982
8	0.1152
9	0.0714
10	0.1243
11	0.0918
12	0.0626
13	0.1035
14	0.1025
15	0.0955
16	0.0730
17	0.0677
18	0.0623
19	0.0479
20	0.0603

Epoch	Training Accuracy
1	0.1087
2	0.1893
3	0.2513
4	0.3287
5	0.4340
6	0.4987
7	0.5393
8	0.5907
9	0.6447
10	0.6960
11	0.7433
12	0.7640
13	0.8040
14	0.8567
15	0.8547
16	0.8567
17	0.8920
18	0.8920
19	0.9027
20	0.9107

Epoch	Loss
1	2.7153
2	2.4348
3	2.1957
4	1.9884
5	1.6318
6	1.3717
7	1.2700
8	1.0755
9	0.9422
10	0.8170
11	0.7115
12	0.6245
13	0.5278
14	0.4141
15	0.3814
16	0.4137
17	0.2912
18	0.2894
19	0.2885
20	0.2626
