Best Epoch for Validation Accuracy = 30

Epoch	Validation Accuracy
1	0.8744
2	0.8543
3	0.8750
4	0.8395
5	0.9032
6	0.8928
7	0.9028
8	0.9069
9	0.8941
10	0.8925
11	0.8995
12	0.8807
13	0.8536
14	0.8747
15	0.8995
16	0.9109
17	0.8945
18	0.8827
19	0.8905
20	0.8931
21	0.8626
22	0.8707
23	0.8704
24	0.8881
25	0.8781
26	0.8734
27	0.8660
28	0.8717
29	0.8844
30	0.8958
31	0.9122
32	0.9119
33	0.9102
34	0.9052
35	0.9072
36	0.9042
37	0.8446
38	0.8827
39	0.8724
40	0.8928
41	0.8891
42	0.8884
43	0.8767
44	0.8791
45	0.8995
46	0.9062
47	0.8975
48	0.8858
49	0.8998
50	0.9022

Epoch	Training Accuracy
1	0.7207
2	0.8980
3	0.9320
4	0.9520
5	0.9593
6	0.9500
7	0.9593
8	0.9753
9	0.9747
10	0.9787
11	0.9640
12	0.9673
13	0.9687
14	0.9673
15	0.9813
16	0.9927
17	0.9920
18	0.9907
19	0.9853
20	0.9860
21	0.9760
22	0.9807
23	0.9767
24	0.9847
25	0.9780
26	0.9720
27	0.9847
28	0.9840
29	0.9873
30	0.9953
31	0.9987
32	0.9980
33	0.9973
34	0.9933
35	0.9987
36	0.9960
37	0.9860
38	0.9800
39	0.9840
40	0.9813
41	0.9860
42	0.9727
43	0.9820
44	0.9933
45	0.9927
46	0.9973
47	0.9947
48	0.9973
49	0.9967
50	0.9980

Epoch	Loss
1	0.9845
2	0.3356
3	0.2490
4	0.1701
5	0.1145
6	0.1547
7	0.1318
8	0.0648
9	0.0782
10	0.0769
11	0.1140
12	0.1031
13	0.1006
14	0.1036
15	0.0516
16	0.0259
17	0.0204
18	0.0413
19	0.0501
20	0.0547
21	0.0882
22	0.0577
23	0.0684
24	0.0469
25	0.0764
26	0.0875
27	0.0462
28	0.0497
29	0.0461
30	0.0362
31	0.0091
32	0.0064
33	0.0132
34	0.0260
35	0.0068
36	0.0132
37	0.0444
38	0.0731
39	0.0510
40	0.0639
41	0.0516
42	0.0819
43	0.0671
44	0.0267
45	0.0226
46	0.0090
47	0.0137
48	0.0126
49	0.0095
50	0.0098
